,pulse 1,drug concentration
0,265.53423939784165,0.1
1,266.1755483958225,0.16237767391887217
2,267.30361154654594,0.26366508987303583
3,269.2741758498122,0.42813323987193935
4,272.67767909799426,0.6951927961775606
5,278.43698127605364,1.1288378916846888
6,287.86610935483685,1.8329807108324356
7,302.54578756642815,2.9763514416313175
8,323.81742476815157,4.832930238571752
9,351.9572798108644,7.847599703514611
10,385.5869357166141,12.742749857031335
11,421.971635817452,20.6913808111479
12,457.8182825851025,33.59818286283781
13,490.09399373294264,54.555947811685144
14,516.5944310223437,88.58667904100822
15,536.4023979188077,143.8449888287663
16,549.9836608350911,233.57214690901213
17,558.6796887524276,379.2690190732246
18,563.9733207474114,615.8482110660261
19,567.0968612485943,1000.0
