,drug concentration,qNet
0,0.1,0.069669335882852
1,0.206913808111479,0.069664525360408
2,0.428133239871939,0.069654827919707
3,0.885866790410082,0.069633951986276
4,1.83298071083244,0.069590619280285
5,3.79269019073225,0.069497107754538
6,7.84759970351461,0.069297564853893
7,16.2377673918872,0.06887298665473
8,33.5981828628378,0.067975230970085
9,69.5192796177561,0.066094376706465
10,143.844988828766,0.062247693780892
11,297.635144163132,0.054814568730268
12,615.848211066026,0.042081839969972
13,1274.27498570313,0.023985906043142
14,2636.65089873036,-0.014956411265242
15,5455.59478116851,-0.017249799177717
16,11288.3789168469,-0.103044529948433
17,23357.2146909012,-0.104427211529884
18,48329.3023857175,-0.105506674800369
19,100000.0,-0.106053885139752
