,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,Hill_curve,Hill_curve,param_values,param_values,param_values,param_values,param_values,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,RMSE,ME,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance
,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,conc_11,conc_12,conc_13,conc_14,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,conc_11,conc_12,conc_13,conc_14,Hill_coef,IC50,Vhalf,Kmax,Ku,N,EC50,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,conc_11,conc_12,conc_13,conc_14,conc_15,conc_16,conc_17,conc_18,conc_19,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,conc_11,conc_12,conc_13,conc_14,conc_15,conc_16,conc_17,conc_18,conc_19,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,conc_11,conc_12,conc_13,conc_14,conc_15,conc_16,conc_17,conc_18,conc_19,RMSE,ME,conc_20,conc_21,conc_22,conc_23,conc_24,conc_25,conc_26,conc_27,conc_28,conc_29,conc_20,conc_21,conc_22,conc_23,conc_24,conc_25,conc_26,conc_27,conc_28,conc_29,conc_20,conc_21,conc_22,conc_23,conc_24,conc_25,conc_26,conc_27,conc_28,conc_29
0,0.0,7.59611043599175e-18,2.4021010335908603e-17,7.596110435991751e-17,2.40210103359086e-16,7.596110435991751e-16,2.40210103359086e-15,7.59611043599175e-15,2.4021010335908604e-14,7.596110435991753e-14,2.402101033590861e-13,7.596110435991754e-13,2.4021010335908614e-12,7.596110435991755e-12,2.4021010335908615e-11,1.0,0.988644801191705,0.9781458315336224,0.9583407581978162,0.9219883412909544,0.858506818971676,0.7567264478453496,0.6140103046093446,0.44754024517908075,0.29073132360954046,0.1705397065924215,0.0922496497464627,0.045716896903118046,0.018087850322466237,0.0,0.5923434092884559,6.85841455185615e-09,-1.147,100000000.0,1.79e-05,0.578,548300000.0,7.596110435991781e-18,1.6699233342430417e-17,3.6711471821634986e-17,8.070622978159791e-17,1.7742398226925526e-16,3.9004757835260308e-16,8.574777289569021e-16,1.8850727359019804e-15,4.144130045177645e-15,9.110425027247862e-15,2.0028291407912763e-14,4.403004860042708e-14,9.67953351722284e-14,2.1279415328678787e-13,4.678051023065486e-13,1.0284192980109897e-12,2.26086942469548e-12,4.970278723288046e-12,1.0926624208073062e-11,2.40210103359086e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.0,2.0803141077159118e-16,6.578530828963144e-16,2.0803141077159117e-15,6.578530828963143e-15,2.080314107715912e-14,6.578530828963143e-14,2.080314107715912e-13,6.578530828963144e-13,2.080314107715912e-12,6.578530828963145e-12,2.0803141077159126e-11,6.578530828963147e-11,2.080314107715913e-10,,1.0,0.980960947092336,0.9620448356310142,0.9257384840782268,0.8597152789189997,0.7506372444390086,0.5962088421000117,0.41956265335174686,0.26113534545401296,0.14768376448107262,0.0786911119440532,0.039524834921908523,0.01623143721497606,0.0,,0.6210287535612474,9.601678738940904e-09,-1.147,100000000.0,1.79e-05,0.6162105263157894,548300000.0,2.0803141077159148e-16,4.3044571409553346e-16,8.906516188877177e-16,1.8428811816471134e-15,3.813175631915866e-15,7.889986909976071e-15,1.63254723749287e-14,3.377965658315235e-14,6.989477380318072e-14,1.4462193814706506e-13,2.992427595847213e-13,6.191745893546221e-13,1.2811577216922611e-12,2.6508922298677215e-12,5.485062061750604e-12,1.134935078924618e-11,2.348337391395947e-11,4.8590343238431213e-11,1.0054012956907658e-10,2.0803141077159147e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.0,1.400180801015713e-15,4.427760467248656e-15,1.400180801015713e-14,4.427760467248656e-14,1.400180801015713e-13,4.4277604672486556e-13,1.400180801015713e-12,4.427760467248656e-12,1.400180801015713e-11,4.427760467248656e-11,1.4001808010157132e-10,4.427760467248657e-10,1.4001808010157133e-09,,1.0,0.9834042698330483,0.9654013715916119,0.929263779384632,0.8608069272509389,0.7442921579001821,0.5780499252247663,0.39231137115427106,0.2344054868692027,0.12894908194289337,0.06878545269448742,0.0356619185831422,0.01538739014554557,0.0,,0.6489064467154152,1.322777035591367e-08,-1.147,100000000.0,1.79e-05,0.6544210526315789,548300000.0,1.400180801015712e-15,2.8971674158274202e-15,5.9946394274534434e-15,1.2403736721896081e-14,2.5665043999397116e-14,5.310451989263921e-14,1.0988058438917769e-13,2.2735810153479487e-13,4.704353059356052e-13,9.733956062122514e-13,2.014089916803577e-12,4.167430145647601e-12,8.622988414745208e-12,1.7842153701960967e-11,3.691787967383066e-11,7.638819070713668e-11,1.5805771433959544e-10,3.270432357540202e-10,6.766976132696451e-10,1.400180801015712e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.0,7.636184144155607e-15,2.4147734527995273e-14,7.636184144155607e-14,2.414773452799527e-13,7.636184144155608e-13,2.414773452799527e-12,7.636184144155607e-12,2.414773452799527e-11,7.636184144155607e-11,2.4147734527995275e-10,7.636184144155609e-10,2.4147734527995276e-09,,,1.0,0.9853107472561774,0.9679685975095821,0.931560802600269,0.8596991500904895,0.733726688086805,0.5529290233266053,0.3563881721603536,0.1986174065912554,0.10039985380981087,0.047455597713743615,0.01864594800691262,0.0,,,0.698264358072486,9.543245724243124e-09,-1.147,100000000.0,1.79e-05,0.6926315789473684,548300000.0,7.6361841441556e-15,1.4871339110363167e-14,2.8961680698164113e-14,5.64023819669273e-14,1.0984268229104667e-13,2.1391676081989895e-13,4.1659926364897047e-13,8.113200003948484e-13,1.5800319407077303e-12,3.0770854070424174e-12,5.992571642565855e-12,1.167043163933514e-11,2.2727967686019693e-11,4.4262331600117724e-11,8.620014009804652e-11,1.6787331087870406e-10,3.269304257896071e-10,6.366914594554096e-10,1.2399458189441617e-09,2.4147734527995247e-09,235.20000000000002,235.5,236.4,238.4,240.9,245.10000000000002,251.10000000000002,258.8,268.8,280.6,293.3,305.9,317.3,326.7,334.0,339.3,343.0,345.5,347.1,348.2,234.8,235.70000000000002,237.10000000000002,239.20000000000002,242.4,247.20000000000002,254.0,263.1,274.4,287.4,300.70000000000005,313.2,323.7,331.90000000000003,337.90000000000003,342.0,344.8,346.7,347.90000000000003,348.6,3.248281596988374,-2.0600000000000023,7.6361841441556e-09,2.4147734527995248e-08,7.6361841441556e-08,2.414773452799525e-07,7.636184144155602e-07,2.4147734527995254e-06,7.636184144155602e-06,2.4147734527995256e-05,7.636184144155602e-05,0.00024147734527995258,349.2,349.6,349.8,349.90000000000003,349.90000000000003,349.90000000000003,349.90000000000003,349.90000000000003,349.90000000000003,349.90000000000003,349.3,349.7,349.8,349.90000000000003,349.90000000000003,349.90000000000003,349.90000000000003,349.90000000000003,349.90000000000003,349.90000000000003
0,0.0,3.4876740267341956e-14,1.1028993660691042e-13,3.4876740267341957e-13,1.1028993660691041e-12,3.4876740267341956e-12,1.1028993660691042e-11,3.4876740267341955e-11,1.1028993660691042e-10,3.487674026734196e-10,1.1028993660691044e-09,3.4876740267341964e-09,1.1028993660691044e-08,,,1.0,0.9871921900233762,0.9707924158855396,0.9347695261448876,0.8606742586678655,0.7269251726521606,0.5342129685503604,0.3311411968785461,0.17772411024233045,0.08862715286994172,0.04280764440090057,0.017622259421612864,0.0,,,0.7262185613110174,1.2693100106000934e-08,-1.147,100000000.0,1.79e-05,0.7308421052631578,548300000.0,3.4876740267342006e-14,6.792186015795123e-14,1.3227667069666462e-13,2.576065727573495e-13,5.016844314139584e-13,9.77021921564954e-13,1.9027336218668082e-12,3.705541458049764e-12,7.216479143230697e-12,1.4053970739297031e-11,2.736986965815485e-11,5.330235696376997e-11,1.0380543617410424e-10,2.021593263993986e-10,3.937018595222082e-10,7.66727694200039e-10,1.4931891806829207e-09,2.907960604755247e-09,5.663203958483644e-09,1.1028993660691034e-08,234.4,235.20000000000002,236.3,238.20000000000002,240.9,245.10000000000002,251.3,259.70000000000005,270.5,283.20000000000005,296.70000000000005,309.7,321.1,330.2,336.90000000000003,341.5,344.6,346.6,347.90000000000003,348.7,234.70000000000002,235.5,236.9,239.0,242.3,247.20000000000002,254.3,264.0,276.0,289.6,303.4,315.90000000000003,326.3,334.0,339.6,343.3,345.8,347.3,348.3,348.90000000000003,2.8503800916135074,-1.7799999999999945,3.4876740267341934e-08,1.1028993660691035e-07,3.487674026734194e-07,1.1028993660691036e-06,3.487674026734194e-06,1.1028993660691037e-05,3.487674026734194e-05,0.00011028993660691038,0.0003487674026734195,0.0011028993660691041,349.5,349.8,349.90000000000003,349.90000000000003,349.90000000000003,349.90000000000003,349.90000000000003,349.90000000000003,349.90000000000003,349.90000000000003,349.5,349.7,349.8,349.90000000000003,349.90000000000003,349.90000000000003,349.90000000000003,349.90000000000003,349.90000000000003,349.90000000000003
0,0.0,1.3697609045689387e-13,4.3315643082903863e-13,1.3697609045689387e-12,4.331564308290386e-12,1.3697609045689387e-11,4.331564308290386e-11,1.3697609045689386e-10,4.331564308290386e-10,1.3697609045689388e-09,4.331564308290387e-09,1.369760904568939e-08,4.331564308290387e-08,,,1.0,0.9888317300023367,0.9733621878579563,0.9378181705408312,0.8615989391157755,0.7199715582257789,0.5154966906019424,0.30738911609797803,0.1598202487403063,0.0796881777297635,0.03989917205161349,0.017287917498524864,0.0,,,0.7532812115958754,1.6780132835749467e-08,-1.147,100000000.0,1.79e-05,0.7690526315789473,548300000.0,1.3697609045689387e-13,2.6675861303780803e-13,5.195078746407152e-13,1.0117327749618355e-12,1.970332420158002e-12,3.837188971240076e-12,7.472860442414965e-12,1.4553268971208225e-11,2.834224449665833e-11,5.519604047018929e-11,1.0749335268581124e-10,2.0934148125854742e-10,4.076889843003972e-10,7.939673824826528e-10,1.5462380116257123e-09,3.011272303303308e-09,5.864401739230183e-09,1.14208229263622e-08,2.2241858950891484e-08,4.331564308290386e-08,234.3,235.0,236.10000000000002,237.9,240.70000000000002,245.10000000000002,251.60000000000002,260.70000000000005,272.3,285.9,300.1,313.40000000000003,324.6,333.2,339.2,343.3,345.90000000000003,347.5,348.5,349.1,234.60000000000002,235.4,236.70000000000002,238.8,242.20000000000002,247.3,254.70000000000002,264.9,277.5,291.8,305.9,318.5,328.6,335.90000000000003,341.0,344.40000000000003,346.5,347.8,348.6,349.1,2.486362805384598,-1.526666666666665,1.3697609045689386e-07,4.3315643082903865e-07,1.369760904568939e-06,4.331564308290387e-06,1.3697609045689391e-05,4.331564308290388e-05,0.00013697609045689393,0.0004331564308290388,0.0013697609045689393,0.004331564308290388,349.6,349.8,349.90000000000003,349.90000000000003,349.90000000000003,349.90000000000003,349.90000000000003,349.90000000000003,349.90000000000003,349.90000000000003,349.6,349.8,349.90000000000003,349.90000000000003,349.90000000000003,349.90000000000003,349.90000000000003,349.90000000000003,349.90000000000003,349.90000000000003
0,0.0,4.726190635899885e-13,1.4945527065603194e-12,4.726190635899885e-12,1.4945527065603194e-11,4.7261906358998856e-11,1.4945527065603195e-10,4.726190635899886e-10,1.4945527065603196e-09,4.726190635899886e-09,1.4945527065603196e-08,4.726190635899886e-08,1.4945527065603198e-07,,,1.0,0.9902608564926881,0.9757082185865373,0.9407173146994128,0.8624875288230333,0.7128888085213332,0.4969008153800738,0.28529963572298245,0.14475930889957525,0.07313906907588494,0.03830102519388991,0.017366177616584336,0.0,,,0.7793846196907102,2.21044318911484e-08,-1.147,100000000.0,1.79e-05,0.8072631578947369,548300000.0,4.726190635899888e-13,9.204176106790597e-13,1.7924976864308139e-12,3.4908588433996885e-12,6.7983883922363796e-12,1.323974609259294e-11,2.5784180968022933e-11,5.021425513316272e-11,9.779141023348585e-11,1.9044711287847376e-10,3.708925223304155e-10,7.223068968674627e-10,1.4066804312585102e-09,2.7394862824474794e-09,5.335103073129146e-09,1.0390022751084102e-08,2.0234393092002416e-08,3.940613736952162e-08,7.674278419545804e-08,1.4945527065603203e-07,234.20000000000002,234.8,235.9,237.60000000000002,240.5,245.10000000000002,251.9,261.6,274.1,288.6,303.4,316.90000000000003,327.8,335.8,341.2,344.7,346.8,348.1,348.90000000000003,349.40000000000003,234.5,235.3,236.60000000000002,238.70000000000002,242.10000000000002,247.3,255.10000000000002,265.70000000000005,279.1,293.9,308.40000000000003,320.90000000000003,330.7,337.6,342.2,345.2,347.1,348.2,348.90000000000003,349.3,2.187921387984497,-1.3099999999999985,4.7261906358998883e-07,1.4945527065603204e-06,4.726190635899888e-06,1.4945527065603205e-05,4.726190635899889e-05,0.00014945527065603206,0.00047261906358998893,0.0014945527065603208,0.00472619063589989,0.01494552706560321,349.8,349.90000000000003,349.90000000000003,349.90000000000003,349.90000000000003,349.90000000000003,349.90000000000003,349.90000000000003,349.90000000000003,349.90000000000003,349.7,349.8,349.90000000000003,349.90000000000003,349.90000000000003,349.90000000000003,349.90000000000003,349.90000000000003,349.90000000000003,349.90000000000003
0,0.0,1.4580109641256594e-12,4.6106355001351334e-12,1.4580109641256594e-11,4.610635500135133e-11,1.4580109641256594e-10,4.610635500135133e-10,1.4580109641256594e-09,4.6106355001351335e-09,1.4580109641256597e-08,4.610635500135134e-08,1.4580109641256598e-07,4.6106355001351345e-07,,,1.0,0.9915074772457768,0.9778442501562583,0.9434701606690853,0.8633337823492163,0.7056666750929532,0.4784666051522405,0.26489547751698655,0.13222023721080972,0.06844249068494002,0.03753902695598959,0.01753684383214435,0.0,,,0.804717020385068,2.8902959448980158e-08,-1.147,100000000.0,1.79e-05,0.8454736842105264,548300000.0,1.4580109641256592e-12,2.839451624635731e-12,5.529783881619464e-12,1.0769160323814698e-11,2.0972757084687383e-11,4.084408872255499e-11,7.954317006770421e-11,1.5490897464743153e-10,3.0168260085552917e-10,5.875217486017074e-10,1.1441886409793594e-09,2.2282879727635478e-09,4.339553034989685e-09,8.451205936426966e-09,1.645858022796769e-08,3.205280585494468e-08,6.242229578399288e-08,1.2156636235149404e-07,2.367484289029371e-07,4.610635500135133e-07,234.10000000000002,234.70000000000002,235.70000000000002,237.4,240.3,245.0,252.3,262.6,276.0,291.3,306.6,320.2,330.7,338.1,342.90000000000003,345.8,347.6,348.6,349.2,349.6,234.4,235.10000000000002,236.4,238.5,242.0,247.4,255.4,266.6,280.6,295.9,310.7,323.1,332.5,339.0,343.3,345.90000000000003,347.6,348.5,349.1,349.40000000000003,1.8977179277577907,-1.0866666666666647,1.4580109641256595e-06,4.610635500135134e-06,1.4580109641256597e-05,4.610635500135134e-05,0.00014580109641256598,0.00046106355001351347,0.00145801096412566,0.004610635500135135,0.0145801096412566,0.04610635500135135,349.8,349.90000000000003,349.90000000000003,349.90000000000003,349.90000000000003,349.90000000000003,349.90000000000003,349.90000000000003,349.90000000000003,349.90000000000003,349.7,349.90000000000003,349.90000000000003,349.90000000000003,349.90000000000003,349.90000000000003,349.90000000000003,349.90000000000003,349.90000000000003,349.90000000000003
